Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Bilal Brahimi,dz ALG,"FW,MF",Brest,fr Ligue 1,23.0,2000.0,18,1,221,2.5,0,0,0,0,0,0,1,1,0.1,0.1,0.3,0.4,15.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.15,0.04,0.15
Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,21.0,2002.0,35,35,3116,34.6,3,0,3,3,0,0,8,0,1.7,1.7,1.0,2.8,2.0,74.0,6.0,0.09,0.0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08
Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31.0,1992.0,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
Brau,es ESP,DF,Granada,es La Liga,21.0,2001.0,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28.0,1995.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,21.0,2002.0,16,6,629,7.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,25.0,1998.0,11,8,652,7.2,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,14.0,25.0,69.0,0.14,0.0,0.14,0.14,0.14,0.06,0.04,0.1,0.06,0.1
Gleison Bremer,br BRA,DF,Juventus,it Serie A,26.0,1997.0,36,36,3233,35.9,3,0,3,3,0,0,9,0,1.4,1.4,0.4,1.9,7.0,120.0,4.0,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
Brenner,br BRA,"MF,FW",Udinese,it Serie A,23.0,2000.0,8,2,189,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.2,0.18,0.2
Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,eng Premier League,24.0,1999.0,14,14,1105,12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,23.0,37.0,78.0,0.49,0.08,0.57,0.41,0.49,0.49,0.12,0.61,0.43,0.55
Ben Brereton,cl CHI,"FW,MF",Villarreal,es La Liga,24.0,1999.0,14,2,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,6.0,14.0,35.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,0.16
Marco Brescianini,it ITA,MF,Frosinone,it Serie A,23.0,2000.0,36,24,2321,25.8,4,2,6,4,0,0,1,0,2.3,2.3,1.6,3.9,46.0,70.0,100.0,0.16,0.08,0.23,0.16,0.23,0.09,0.06,0.15,0.09,0.15
Maximilian Breunig,de GER,FW,Freiburg,de Bundesliga,22.0,2000.0,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,23.0,2000.0,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12
Bennit Bröger,de GER,FW,Wolfsburg,de Bundesliga,17.0,2006.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armando Broja,al ALB,FW,Chelsea,eng Premier League,21.0,2001.0,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11.0,6.0,37.0,0.2,0.0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5
Armando Broja,al ALB,FW,Fulham,eng Premier League,21.0,2001.0,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2.0,2.0,7.0,0.0,1.02,1.02,0.0,1.02,0.0,0.41,0.41,0.0,0.41
Dylan Bronn,tn TUN,"DF,MF",Salernitana,it Serie A,28.0,1995.0,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,eng Premier League,19.0,2003.0,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,26.0,1997.0,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8.0,21.0,27.0,0.32,0.32,0.64,0.32,0.64,0.7,0.33,1.03,0.7,1.03
John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30.0,1993.0,21,18,1539,17.1,2,0,2,2,0,0,6,1,2.6,2.6,0.1,2.7,5.0,61.0,1.0,0.12,0.0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
Moritz Broschinski,de GER,FW,Bochum,de Bundesliga,22.0,2000.0,26,14,1247,13.9,2,3,5,2,0,0,4,0,2.4,2.4,1.8,4.1,18.0,10.0,92.0,0.14,0.22,0.36,0.14,0.36,0.17,0.13,0.3,0.17,0.3
Jacob Brown,sct SCO,"MF,FW",Luton Town,eng Premier League,25.0,1998.0,19,12,1019,11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25.0,19.0,53.0,0.18,0.0,0.18,0.18,0.18,0.25,0.06,0.3,0.25,0.3
Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,27.0,1995.0,33,23,2252,25.0,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4.0,19.0,90.0,36.0,0.16,0.08,0.24,0.16,0.24,0.08,0.08,0.16,0.08,0.16
Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28.0,1995.0,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,24.0,1998.0,32,16,1249,13.9,6,0,6,5,1,1,1,0,5.0,4.2,1.5,5.7,61.0,38.0,146.0,0.43,0.0,0.43,0.36,0.36,0.36,0.1,0.46,0.3,0.41
Tajon Buchanan,ca CAN,DF,Inter,it Serie A,24.0,1999.0,10,0,161,1.8,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,12.0,4.0,22.0,0.56,0.0,0.56,0.56,0.56,0.11,0.18,0.29,0.11,0.29
Hugo Bueno,es ESP,"DF,MF",Wolves,eng Premier League,20.0,2002.0,22,7,741,8.2,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.0,22.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.13,0.03,0.13
Manu Bueno,es ESP,MF,Sevilla,es La Liga,19.0,2004.0,4,1,117,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1
Santiago Bueno,uy URU,DF,Wolves,eng Premier League,24.0,1998.0,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Marius Bülter,de GER,"DF,FW",Hoffenheim,de Bundesliga,30.0,1993.0,30,15,1351,15.0,1,4,5,1,0,0,3,1,1.4,1.4,3.4,4.9,37.0,60.0,107.0,0.07,0.27,0.33,0.07,0.33,0.1,0.23,0.32,0.1,0.32
Facundo Buonanotte,ar ARG,"FW,MF",Brighton,eng Premier League,18.0,2004.0,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23.0,42.0,69.0,0.2,0.07,0.26,0.2,0.26,0.16,0.12,0.28,0.16,0.28
Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24.0,1999.0,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14.0,62.0,10.0,0.11,0.0,0.11,0.11,0.11,0.06,0.0,0.06,0.06,0.06
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,de Bundesliga,23.0,2000.0,21,18,1538,17.1,8,2,10,7,1,1,2,0,6.1,5.3,2.1,7.4,36.0,28.0,101.0,0.47,0.12,0.59,0.41,0.53,0.36,0.12,0.48,0.31,0.43
Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,26.0,1997.0,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reece Burke,eng ENG,DF,Luton Town,eng Premier League,26.0,1996.0,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11.0,67.0,14.0,0.0,0.22,0.22,0.0,0.22,0.07,0.07,0.15,0.07,0.15
Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31.0,1992.0,33,32,2726,30.3,2,2,4,2,0,0,4,0,3.1,3.1,1.1,4.2,14.0,75.0,25.0,0.07,0.07,0.13,0.07,0.13,0.1,0.04,0.14,0.1,0.14
Mason Burstow,eng ENG,FW,Chelsea,eng Premier League,19.0,2003.0,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,28.0,1994.0,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
Maxime Busi,be BEL,"FW,DF",Reims,fr Ligue 1,23.0,1999.0,5,1,162,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.21,0.1,0.21
Pablo Busto,es ESP,DF,Betis,es La Liga,17.0,2005.0,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.41,0.44,0.03,0.44
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,de Bundesliga,26.0,1997.0,30,20,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.7,1.2,51.0,90.0,104.0,0.05,0.05,0.1,0.05,0.1,0.02,0.04,0.06,0.02,0.06
Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23.0,1999.0,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,33.0,1990.0,30,14,1477,16.4,2,2,4,2,0,0,0,0,5.2,5.2,3.3,8.5,72.0,106.0,160.0,0.12,0.12,0.24,0.12,0.24,0.32,0.2,0.52,0.32,0.52
Jovane Cabral,cv CPV,"MF,FW",Salernitana,it Serie A,25.0,1998.0,12,8,678,7.5,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,22.0,40.0,39.0,0.13,0.0,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21
Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22.0,2000.0,31,18,1912,21.2,0,1,1,0,0,0,6,0,0.4,0.4,1.7,2.1,34.0,84.0,55.0,0.0,0.05,0.05,0.0,0.05,0.02,0.08,0.1,0.02,0.1
Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,26.0,1997.0,31,29,2486,27.6,2,3,5,2,0,0,8,0,1.5,1.5,2.9,4.4,43.0,144.0,75.0,0.07,0.11,0.18,0.07,0.18,0.06,0.1,0.16,0.06,0.16
Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32.0,1991.0,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35.0,145.0,72.0,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2
Jens Cajuste,se SWE,MF,Napoli,it Serie A,23.0,1999.0,26,11,1016,11.3,0,2,2,0,0,0,7,0,1.5,1.5,1.1,2.5,19.0,37.0,53.0,0.0,0.18,0.18,0.0,0.18,0.13,0.09,0.22,0.13,0.22
Riccardo Calafiori,it ITA,DF,Bologna,it Serie A,21.0,2002.0,30,26,2349,26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,28.0,96.0,23.0,0.08,0.19,0.27,0.08,0.27,0.05,0.05,0.1,0.05,0.1
Mattia Caldara,it ITA,DF,Milan,it Serie A,29.0,1994.0,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58
Luca Caldirola,it ITA,DF,Monza,it Serie A,32.0,1991.0,29,23,2141,23.8,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,10.0,56.0,9.0,0.04,0.04,0.08,0.04,0.08,0.02,0.03,0.04,0.02,0.04
Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,26.0,1996.0,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.5,0.5,1.0,1.5,5.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
José Callejón,es ESP,"MF,FW",Granada,es La Liga,36.0,1987.0,25,7,803,8.9,0,1,1,0,0,0,2,0,1.3,1.3,1.5,2.8,10.0,35.0,50.0,0.0,0.11,0.11,0.0,0.11,0.15,0.17,0.32,0.15,0.32
Lamine Camara,sn SEN,MF,Metz,fr Ligue 1,19.0,2004.0,31,26,2255,25.1,1,4,5,1,0,1,3,0,2.2,1.4,3.3,4.7,23.0,97.0,69.0,0.04,0.16,0.2,0.04,0.2,0.09,0.13,0.22,0.06,0.19
Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25.0,1998.0,32,26,2020,22.4,7,3,10,6,1,1,7,0,4.9,4.1,3.1,7.1,37.0,81.0,129.0,0.31,0.13,0.45,0.27,0.4,0.22,0.14,0.35,0.18,0.32
Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23.0,2000.0,20,14,1035,11.5,1,2,3,0,1,1,4,0,1.5,0.7,0.6,1.3,14.0,76.0,22.0,0.09,0.17,0.26,0.0,0.17,0.13,0.06,0.18,0.06,0.11
Francesco Camarda,it ITA,FW,Milan,it Serie A,15.0,2008.0,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,20.0,2002.0,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49.0,106.0,31.0,0.0,0.1,0.1,0.0,0.1,0.05,0.07,0.11,0.05,0.11
Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,23.0,2000.0,34,28,2372,26.4,2,3,5,2,0,0,10,0,2.2,2.2,3.9,6.0,87.0,71.0,172.0,0.08,0.11,0.19,0.08,0.19,0.08,0.15,0.23,0.08,0.23
Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,19.0,2003.0,7,0,90,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,5.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.29,0.25,0.29
Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22.0,2001.0,31,20,1661,18.5,3,1,4,3,0,0,3,0,4.5,4.5,1.3,5.8,22.0,41.0,79.0,0.16,0.05,0.22,0.16,0.22,0.24,0.07,0.31,0.24,0.31
José Campaña,es ESP,MF,Las Palmas,es La Liga,30.0,1993.0,8,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,29.0,1994.0,25,22,1953,21.7,2,2,4,0,2,2,5,0,2.2,0.6,1.5,2.0,35.0,110.0,18.0,0.09,0.09,0.18,0.0,0.09,0.1,0.07,0.17,0.03,0.09
Matteo Cancellieri,it ITA,"FW,MF",Empoli,it Serie A,21.0,2002.0,36,18,1788,19.9,4,3,7,4,0,0,7,0,4.7,4.7,2.9,7.6,48.0,26.0,138.0,0.2,0.15,0.35,0.2,0.35,0.24,0.15,0.38,0.24,0.38
Fali Candé,gw GNB,DF,Metz,fr Ligue 1,25.0,1998.0,25,20,1849,20.5,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,4.0,38.0,3.0,0.0,0.05,0.05,0.0,0.05,0.04,0.02,0.06,0.04,0.06
Antonio Candreva,it ITA,"MF,FW",Salernitana,it Serie A,36.0,1987.0,34,32,2750,30.6,6,6,12,5,1,1,5,0,4.9,4.1,5.0,9.1,67.0,149.0,182.0,0.2,0.2,0.39,0.16,0.36,0.16,0.16,0.32,0.13,0.3
Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20.0,2002.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,26.0,1997.0,27,15,1229,13.7,1,2,3,1,0,0,1,0,2.8,2.8,2.4,5.3,32.0,52.0,88.0,0.07,0.15,0.22,0.07,0.22,0.21,0.18,0.39,0.21,0.39
Luigi Canotto,it ITA,FW,Frosinone,it Serie A,29.0,1994.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gino Caoki,fr FRA,MF,Lorient,fr Ligue 1,19.0,2004.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35.0,1988.0,32,15,1455,16.2,1,1,2,1,0,0,8,0,1.0,1.0,0.6,1.6,24.0,80.0,38.0,0.06,0.06,0.12,0.06,0.12,0.06,0.04,0.1,0.06,0.1
Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,30.0,1993.0,6,4,285,3.2,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,11.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.22,0.23,0.44,0.22,0.44
Elia Caprile,it ITA,GK,Empoli,it Serie A,21.0,2001.0,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Francesco Caputo,it ITA,FW,Empoli,it Serie A,35.0,1987.0,20,15,1268,14.1,3,0,3,2,1,1,0,0,3.4,2.6,0.7,3.4,7.0,18.0,65.0,0.21,0.0,0.21,0.14,0.14,0.24,0.05,0.3,0.19,0.24
Andrea Carboni,it ITA,DF,Monza,it Serie A,22.0,2001.0,21,16,1487,16.5,1,0,1,1,0,0,1,0,1.2,1.2,0.5,1.7,13.0,46.0,22.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.1,0.07,0.1
Valentin Carboni,ar ARG,"MF,FW",Monza,it Serie A,18.0,2005.0,31,10,1169,13.0,2,3,5,2,0,0,2,0,2.3,2.3,1.7,4.0,52.0,57.0,75.0,0.15,0.23,0.38,0.15,0.38,0.18,0.13,0.31,0.18,0.31
Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30.0,1993.0,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.6,0.6,1.0,1.6,25.0,75.0,70.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,0.02,0.06
Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,26.0,1997.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irvin Cardona,fr FRA,"MF,DF",Augsburg,de Bundesliga,25.0,1997.0,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33
Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28.0,1995.0,25,6,723,8.0,4,1,5,3,1,1,4,0,4.2,3.5,1.1,4.5,10.0,13.0,74.0,0.5,0.12,0.62,0.37,0.5,0.52,0.13,0.65,0.42,0.55
Johnny Cardoso,us USA,MF,Betis,es La Liga,21.0,2001.0,17,15,1328,14.8,1,2,3,1,0,0,3,0,1.1,1.1,0.5,1.6,10.0,45.0,11.0,0.07,0.14,0.2,0.07,0.2,0.07,0.03,0.11,0.07,0.11
Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,26.0,1996.0,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1
Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30.0,1993.0,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,4.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Carmona,es ESP,"DF,MF",Getafe,es La Liga,21.0,2002.0,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.8,0.8,1.0,1.8,29.0,39.0,55.0,0.07,0.07,0.14,0.07,0.14,0.06,0.07,0.12,0.06,0.12
Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23.0,2000.0,27,27,2425,26.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,29.0,1993.0,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9.0,6.0,17.0,0.0,0.41,0.41,0.0,0.41,0.03,0.1,0.12,0.03,0.12
Álvaro Carreras,es ESP,"MF,FW",Granada,es La Liga,20.0,2003.0,13,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,13.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15
Rasmus Carstensen,dk DEN,"DF,FW",Köln,de Bundesliga,22.0,2000.0,23,18,1659,18.4,0,0,0,0,0,0,2,1,0.9,0.9,2.6,3.5,32.0,52.0,89.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.19,0.05,0.19
Antonin Cartillier,fr FRA,DF,Monaco,fr Ligue 1,19.0,2004.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31.0,1992.0,28,25,2171,24.1,4,3,7,4,0,0,5,1,1.7,1.7,2.7,4.4,30.0,82.0,168.0,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18
Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,20.0,2002.0,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25
William Carvalho,pt POR,MF,Betis,es La Liga,31.0,1992.0,22,4,680,7.6,1,3,4,1,0,0,2,0,0.4,0.4,0.7,1.1,12.0,58.0,12.0,0.13,0.4,0.53,0.13,0.53,0.05,0.09,0.14,0.05,0.14
Cesare Casadei,it ITA,"FW,MF",Chelsea,eng Premier League,20.0,2003.0,11,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12
Marc Casado,es ESP,MF,Barcelona,es La Liga,19.0,2003.0,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolò Casale,it ITA,DF,Lazio,it Serie A,25.0,1998.0,20,16,1559,17.3,0,0,0,0,0,0,5,0,0.9,0.9,0.0,0.9,20.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Casemiro,br BRA,"MF,DF",Manchester Utd,eng Premier League,31.0,1992.0,25,24,1982,22.0,1,2,3,1,0,0,7,0,3.5,3.5,1.0,4.5,12.0,112.0,36.0,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.2,0.16,0.2
Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,18.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25.0,1997.0,29,23,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62.0,88.0,101.0,0.08,0.08,0.17,0.08,0.17,0.18,0.1,0.27,0.18,0.27
Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,21.0,2001.0,30,25,2016,22.4,0,5,5,0,0,0,6,0,1.9,1.9,4.3,6.3,59.0,62.0,138.0,0.0,0.22,0.22,0.0,0.22,0.09,0.19,0.28,0.09,0.28
Giuseppe Caso,it ITA,"FW,MF",Frosinone,it Serie A,24.0,1998.0,14,2,417,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,15.0,20.0,37.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1
Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,23.0,2000.0,32,23,1946,21.6,1,3,4,1,0,0,1,0,1.1,1.1,1.7,2.8,14.0,87.0,52.0,0.05,0.14,0.18,0.05,0.18,0.05,0.08,0.13,0.05,0.13
